Contract_ID,Contract_Type,Contract_Date,Balance
ZKlmWB,Saving Account,2022-12-10,145353.61987353483
m2BZ6b,Saving Account,2023-12-20,2894.8303769150343
pjhY4x,Checking Account,2022-05-22,20686.446834570168
dvwUa6,Checking Account,2021-07-12,64843.48857022674
kr5Cjy,TDC,2024-03-06,1690.3476720826686
HGm7Zd,Saving Account,2022-07-06,132213.7204962494
kvYUmq,Saving Account,2020-09-18,15602.242007590981
ywwfmY,TDC,2023-06-17,14524.20799431664
8VKfHY,Mortgage,2020-05-08,17118.95032900862
qCSx8d,Mortgage,2020-05-24,132187.54694458412
BjUGCw,Mortgage,2021-01-11,87959.59110340699
z9D1RF,Mortgage,2020-06-23,19396.922901918017
ITJmNk,Mortgage,2020-11-10,57822.93980368804
YuQ0HY,Saving Account,2022-01-13,68323.85445758552
IIxIoW,TDC,2023-11-05,54660.59945952216
FNQKBF,TDC,2023-01-19,80176.9865134664
3Tw5hJ,TDC,2024-02-16,90026.769935098
SarWlc,TDC,2023-08-06,104559.28082483275
UbSjFN,Checking Account,2022-10-13,62434.52540777978
YiDfvo,Mortgage,2024-01-04,133727.0846976066
B955C6,TDC,2020-10-24,126544.17325609714
9PwWh7,Mortgage,2020-02-13,83911.72165525968
BsqXDC,TDC,2023-05-17,40707.04555218164
zMmqFy,TDC,2023-08-24,46076.210143727716
wzQWhf,Saving Account,2021-08-07,61926.29585696199
SmAJ7Z,TDC,2021-05-27,72615.18844416147
pyfe1V,Mortgage,2021-02-14,138308.33049667437
BBzxdA,TDC,2021-07-05,99402.4752817059
FVZpkk,Saving Account,2022-07-05,49594.20493942851
LXfFqC,Saving Account,2021-01-27,11827.480493993178
aLOfQv,Saving Account,2021-11-19,23005.837456549096
HR0O0e,Saving Account,2023-11-12,133581.67164277125
pjw4Ab,Checking Account,2022-03-17,41232.19911813167
RSt8n2,Mortgage,2023-03-10,12578.962033778993
cg6hre,TDC,2024-02-16,38624.41937737339
ISSPOh,Checking Account,2024-01-14,101453.01524652942
kCWjUp,TDC,2020-02-29,139583.4711719014
5nrigV,Checking Account,2021-04-28,86753.41877931064
fkEbVr,Checking Account,2023-09-19,14589.85599362461
LtAOw2,Saving Account,2021-11-23,61159.73615773405
XoBtdi,Checking Account,2021-11-04,101215.47177205457
XGzCLB,Checking Account,2023-11-17,48326.61066138484
NTJ6qo,Mortgage,2023-08-06,93306.09930698304
IVvgJq,Mortgage,2020-12-12,138150.56023510604
Z7gnvo,Mortgage,2023-09-22,138878.94853369438
EYLYL5,TDC,2023-03-21,23244.60810944101
enSiME,TDC,2023-02-18,128008.6741458227
uFROIj,TDC,2023-03-03,27929.520174650945
TcKpOh,Checking Account,2022-01-05,41626.10064603386
RJ3Z3t,Mortgage,2020-01-24,103265.40838835698
w3RZgK,Checking Account,2022-03-21,26718.783928909612
z7qVKK,Checking Account,2023-06-27,126989.79075074462
pdRWhE,TDC,2022-07-14,26155.087666540985
Y0It52,Checking Account,2023-02-07,34257.84839521943
aSBD9B,Mortgage,2021-09-06,66423.5056373781
RqoIBE,Checking Account,2023-01-13,86852.41558624942
85Rue4,Mortgage,2023-05-27,82381.01429420251
7Wj5px,Saving Account,2023-08-20,21020.5917690185
xtsEhb,Checking Account,2023-06-14,521.776226921184
aG56Pq,Checking Account,2021-06-07,134060.49059071997
xJQ9G1,Checking Account,2020-11-29,123833.09576339542
p90G7r,TDC,2024-01-22,110022.83358939947
8zGa9P,Mortgage,2024-02-17,25599.754403350442
XUIyhe,Checking Account,2022-05-24,87113.49213401397
svdypr,Saving Account,2021-06-25,83066.11119313206
XWK6e2,Checking Account,2021-04-01,41127.55092499681
76Znzj,Saving Account,2023-05-29,110470.75842992452
JHDezZ,Saving Account,2020-09-09,53028.076520096736
vqKN9T,Saving Account,2020-10-02,29856.447139389624
bTEFvB,TDC,2023-02-02,112122.20372513446
HYiOkB,Mortgage,2023-01-18,54683.39166651843
h7jEz6,Saving Account,2021-03-12,59735.900189094566
nwLGRi,Checking Account,2020-11-06,12286.17801451573
VulMeQ,Checking Account,2023-06-10,67495.51481852208
HMtd0S,TDC,2024-02-16,36058.823683719005
2gdSQq,Checking Account,2024-01-11,18549.177604541826
yE03Ej,Mortgage,2020-07-03,76271.16845680194
x3EWCg,Mortgage,2021-07-01,145091.52868587236
6P9XtM,Checking Account,2023-02-17,112851.28411648473
