Transaction_ID,Transaction_Date,Contract_ID,Transaction_Type,Amount
0dAe72,2022-08-22,lDOZJY,Deposit,143481.31808465932
7khxT0,2022-10-16,21NNTc,Domestic Wire,41548.35157954233
HSiobU,2021-03-04,aSEUfG,Deposit,43827.55180266493
Vwil2y,2022-02-07,wODtPG,TDC,64947.60259522106
IJjjXb,2023-03-06,UqlI3p,Deposit,126148.67784061802
hFoVxC,2023-01-25,xdf4ok,Deposit,131744.33463004197
jqUb2g,2022-09-22,OfcNCm,Domestic Wire,126579.4822927873
ATIBXD,2022-04-17,NwzBaP,Deposit,960.8415805520021
B84s5v,2023-01-11,uy4CyG,Deposit,71997.30155547275
VRY0SX,2022-07-11,TnqmUb,Domestic Wire,25336.285952113067
50NlHX,2023-06-26,lokiJG,Withdraw,73705.68494664652
BzU0kz,2021-12-06,B1vo1A,Domestic Wire,82384.62988347498
sNCsdU,2023-02-24,iJSRbQ,Domestic Wire,48132.470244524186
erIaEM,2021-08-05,wHIwd3,TDC,128014.6110722543
fyRhZR,2022-03-14,33tCnp,International Wire,120469.55172071687
iZN3Xo,2021-08-06,LUvDMy,Withdraw,70703.2592520524
OszbrJ,2021-05-28,2aI8Kp,Domestic Wire,128062.56844689595
pmaGnp,2023-08-19,wcUwdb,International Wire,49576.52034939034
dtixQK,2022-01-25,BmgVMZ,TDC,126364.67411591622
hLam8U,2023-04-08,hiSf62,Domestic Wire,127488.97083421978
GhBrS0,2024-01-01,ghtPnW,International Wire,86256.96232290631
l7eSU6,2023-07-25,JHIDdM,TDC,140794.7981725736
edPSQQ,2021-08-17,8NPMhW,Domestic Wire,124163.30232003487
T8fl6S,2022-04-27,gIG0QJ,TDC,2873.107163622338
BYDl94,2021-06-03,veQMaM,Deposit,41711.994247998606
Wr3K8C,2024-02-08,J12BW0,Withdraw,25438.3654724958
tzaesy,2021-04-25,aEfzOA,TDC,3938.061763764249
RlqX1p,2023-11-29,ngNVFo,TDC,20169.563023348084
7Ud1St,2022-05-28,tjloL0,TDC,117493.87304808375
PShIfo,2023-01-04,OuKIJn,Withdraw,93337.45061761935
Lgrt87,2023-05-20,7PzooW,Deposit,69379.83030146413
1SjzbC,2021-06-06,Vs5owL,TDC,137696.0041752757
URU9fM,2022-07-04,4f1877,Deposit,45809.45915792197
AcT2ah,2022-11-06,cWAkGF,Withdraw,8185.809868585335
3dDGpc,2022-05-07,Rheu8Q,Deposit,135082.9002509617
RYTz5m,2023-08-07,mBNpJQ,Deposit,3940.9264307425647
tTIG4x,2023-09-22,QugP7t,Deposit,50489.75628625366
DOuYah,2021-11-14,bYBJQN,Withdraw,36063.92076138397
E4v6dB,2023-05-09,SovB7R,Withdraw,71837.12404224428
Q2Mm2L,2023-01-12,7fzFmg,Domestic Wire,89612.38906109765
3eONh0,2022-11-19,buGsOP,International Wire,96631.9886313478
JrapU2,2023-03-21,gd4Gv5,Withdraw,148607.52999111026
B1XEjJ,2022-02-09,LWU9Ct,Deposit,112126.79748662395
m37TC2,2021-04-07,wbKoXi,TDC,9246.500500503444
wb9Stn,2023-05-03,5SoMFb,TDC,145988.7766087022
xrcJ48,2021-01-22,MuKcBv,International Wire,41861.543122945346
R1qANp,2021-05-25,EkFjwY,Withdraw,111964.76051896616
WHyrqf,2024-01-24,koaDNs,International Wire,145107.83922762447
M2tYvb,2022-09-12,fvarEO,International Wire,46037.205314853374
8rTLO9,2024-01-09,A3mxs6,Deposit,33594.59711850412
x09Gxe,2023-11-04,XixPnz,Withdraw,97877.33333969126
4NcAjh,2023-08-30,n6sh0X,Withdraw,74307.38823050122
aJxunS,2021-01-02,B6V6CW,Deposit,109170.53229364201
dLD54H,2023-08-09,HTZzwx,TDC,11236.502138053738
fjXbPR,2023-02-06,me4dvz,TDC,8512.01747068729
eoyUwj,2022-06-02,r7hDUq,TDC,21195.37767335937
HiJOat,2022-01-14,xEu0OQ,Domestic Wire,78965.25293140917
f8oX9e,2024-02-09,6Djrmt,Withdraw,118316.04478483571
ZjioxQ,2022-05-21,MXW02k,Domestic Wire,116277.7512933532
noaAHO,2023-12-30,WKA53O,Deposit,15562.091041264128
VCVOvF,2021-04-08,CIbYfw,TDC,91177.74239197547
XGVBmm,2021-10-24,A3tjva,Withdraw,3429.966516689982
IcOFob,2023-06-01,DblT8R,Deposit,81652.09363594255
upgHlN,2021-12-11,X9qW5o,Deposit,132165.73594169028
WSvAvq,2022-01-06,qHxL6V,Withdraw,126485.8425863924
JjOZhJ,2021-08-10,3R7pWl,International Wire,78356.06984954307
OwpFXJ,2023-04-24,7ElXhl,International Wire,76215.57514555723
lNqRcw,2022-11-27,DSaZat,Deposit,139027.26086044885
jWSFhF,2021-05-22,f8i2Bm,Deposit,8994.68458931324
hdMG9V,2021-05-05,SNYGfu,International Wire,16166.15425559922
IxSLJJ,2022-05-13,HBwJlu,Deposit,14561.604326132765
ANQfsA,2023-03-01,BSzZee,Withdraw,54852.746771149286
vBmi3T,2023-01-31,PqOUoh,Withdraw,37394.65470404597
yNpiiw,2021-06-19,JXwQZO,Withdraw,23395.53573040997
n35H4B,2022-04-14,x57Xlp,Deposit,102071.15273748859
YrkGDN,2023-05-07,ILhsoD,TDC,66634.34038174055
bORoOl,2022-03-29,SkofUy,International Wire,107929.22065197233
cNE1Zo,2024-01-03,i4w1r9,International Wire,101397.47454216206
nd2G4b,2021-07-13,FOTCp4,TDC,22880.937060155167
5dbTK7,2023-05-01,0vq22g,International Wire,4171.758473459782
OVkG4v,2022-06-01,FKyjDY,TDC,91406.66919244814
0NwZti,2023-04-20,kjPakl,Deposit,103839.6530799689
tOPmZG,2021-11-12,R3ora1,Deposit,146920.66822465658
lvbX07,2023-07-27,elb8oW,Deposit,136663.39064277292
TiZbbW,2023-05-01,cxdRmQ,TDC,80087.71727995866
8PbOzo,2023-07-02,KXp9q5,International Wire,48964.957625093346
Xq5fvM,2022-03-23,zBCcO9,Withdraw,13748.294369921825
BH51dD,2022-11-23,0juCEL,Deposit,97357.05838739238
WtapLj,2021-05-23,soIjgo,Withdraw,16995.90251134463
KVkgYw,2023-07-16,853P42,TDC,75145.70553324634
9thwCH,2022-08-21,6ymEQe,Deposit,50755.43230549633
GIImap,2022-05-08,lGgsss,International Wire,50080.38892591303
djWHMa,2023-06-14,CJ3tYF,TDC,148495.98260026274
cQgvzj,2022-01-12,CvmmWc,TDC,128473.09822842397
gnNdci,2022-03-28,5BRa3f,Withdraw,13799.837043945154
PPJXx0,2021-10-13,jbUPI8,TDC,128196.025959496
KBz8H5,2021-10-22,eGRADx,TDC,132742.8015444895
gPHVyW,2021-10-18,lSyLSY,Deposit,139352.85226280463
szs77h,2021-02-21,mTaCoZ,Withdraw,17882.737820067847
oPK6ia,2023-08-10,Un8QRr,Deposit,80351.14977553295
qibEZJ,2023-10-18,s0oMSY,Withdraw,95737.24396857228
bovPXv,2022-02-08,O6IyVt,Domestic Wire,103300.41368877962
EX2qFP,2023-01-11,h8venr,International Wire,111845.28636100938
1O2jxk,2021-04-18,rB51zX,International Wire,49933.057098697915
y8aMQ2,2021-05-20,Jyuca0,International Wire,42999.498746034864
W4BzYC,2023-11-21,ljl7NM,TDC,67871.37555094832
MswGWY,2021-07-22,URazM1,Domestic Wire,96841.60818175257
tCjaYC,2021-08-21,kCpQtt,Deposit,144350.66839758205
9ZTnrt,2021-03-02,5W5EA4,Withdraw,86354.17281730929
PnPZwf,2021-05-05,zr5zGc,TDC,91178.37313098258
aHDNKa,2023-12-23,VMoBXL,International Wire,121684.96575015396
7UZwMB,2023-04-20,1LNjJv,International Wire,12439.44208756505
BJQsZc,2023-11-28,7H0hMF,Deposit,52536.043185673836
GRJOlG,2022-08-31,Gauhv4,International Wire,12495.399964128945
4Yfsid,2024-01-01,gjooPS,Deposit,75181.99082474911
Cy4LNC,2023-03-26,4UzweP,Domestic Wire,23601.221448660774
njYMUC,2022-03-05,r6aVP0,Domestic Wire,60051.297119401715
t8jItZ,2023-03-22,sVaHgJ,Domestic Wire,70394.40725091206
gaQaFX,2022-01-01,LkSgjF,International Wire,35865.634896241456
JotBxP,2021-12-01,FpnQ8k,Domestic Wire,13235.535263961168
KntBAf,2023-11-22,y7siWN,Deposit,130538.92369765518
slEiL8,2023-07-06,NkxkOb,Withdraw,94515.58966590244
1OlvA4,2022-10-14,cZIhuK,TDC,52712.245720661
8Toc2K,2023-06-20,Til13q,TDC,117547.23466612368
oWasrc,2022-03-04,0ut3sY,Deposit,40108.40132261368
SIiRP8,2022-12-01,i1iud5,Withdraw,107172.50671729461
E9tEku,2023-02-05,ZXA3nU,Withdraw,84543.83993251977
WIW8r7,2023-10-23,PkCg66,Domestic Wire,133194.7619691202
nVVuGA,2023-09-24,5Jyipn,TDC,137350.1753897505
wuBfO8,2023-12-24,58MGn8,International Wire,69915.68302959925
Q34QpJ,2022-07-10,eEeiq0,Deposit,27016.369512867157
0nL84c,2021-05-08,n8btLg,Domestic Wire,115961.17986406713
kE8QRH,2022-05-19,dNnQvR,Withdraw,135294.1931042251
yWzLlS,2023-08-10,aHRU3v,International Wire,123520.94949896698
10Yj1o,2021-06-29,uo94yq,International Wire,148572.858888201
GhrSN7,2023-01-26,TMwrP8,Domestic Wire,94962.78770040597
rPuPFt,2023-07-01,cZN4xy,International Wire,131147.72333359308
QpipdC,2023-09-06,PfjpY6,Domestic Wire,130796.63171495301
gZQBpS,2022-06-05,9YpSM2,Domestic Wire,88220.3285807564
eK4151,2021-10-23,Sdur5R,Withdraw,138177.50253324056
RJV4FO,2022-01-13,2ownc3,Withdraw,47487.96866203694
YAVvty,2021-01-26,p79Eha,TDC,8020.327739427658
9JDqZ7,2024-02-11,pESXp8,Withdraw,146973.16515747126
DgNHwx,2022-02-26,0wxDMA,TDC,107072.2126881025
6A9VmK,2021-07-01,loKLg4,Withdraw,73449.19302816041
ZU6Y4L,2024-01-01,nvaFxw,TDC,25958.774827198853
nVLHZD,2021-12-09,6Kwuyi,Deposit,134425.77386297082
3CKspL,2022-08-01,g73FEm,International Wire,79198.95314206721
67euZR,2021-09-22,q7a2Jk,Deposit,135341.33098657717
D4ErVe,2022-06-01,oEXZy6,Withdraw,118362.46103804614
EsgFDj,2022-10-24,Ll8iLG,Deposit,58570.85613506724
gsfhfk,2021-04-07,gwQB7x,Domestic Wire,111695.69336090864
K8ao1v,2021-06-06,VIuHix,TDC,98425.49158004398
bJnbDR,2021-08-16,GfAljI,International Wire,125445.55753683213
DAKZf1,2023-12-20,82q1KV,International Wire,141764.07125202124
IaM9f9,2021-12-06,LVZU8v,Withdraw,34798.70702785032
ZoFxEZ,2021-03-12,QdptVC,TDC,97867.44057987064
CmX3fi,2023-06-11,7SyqZN,Deposit,45677.88707609841
v4J0PN,2023-09-13,zEVs1Z,Withdraw,15867.873971089679
TV2NdB,2023-04-10,R4rvSD,Domestic Wire,99114.51860818859
8FTpAV,2023-07-25,O7Pydt,TDC,15036.100637958445
wUziHN,2023-11-24,KTUYdS,TDC,50854.07703775538
C8421f,2021-04-25,jUW3jw,Deposit,65968.6642819373
b02m6c,2021-02-11,63cMk4,Deposit,50929.212152520864
xLBJB4,2021-07-13,tcgGJY,Domestic Wire,117344.03896585555
ElE2Cc,2023-09-14,HUglwk,Deposit,89319.87661444911
gRUHTK,2021-10-20,AY7geo,Deposit,109050.26907591669
O4YrtT,2023-07-31,0LE3ox,International Wire,131365.2721806099
hxrgNX,2023-06-14,rtufLO,Domestic Wire,93149.29830625691
WvSTnw,2021-07-05,jiwzLT,TDC,148086.98058103444
mRjWow,2022-08-31,CVaZAR,International Wire,39592.89402083956
nbIOB5,2021-05-23,UoOXzM,Domestic Wire,41090.9041127112
APAmAk,2022-07-29,8kuYq6,International Wire,83537.10916801465
ki5lxd,2021-06-30,tluB4g,Domestic Wire,58903.41583780529
HjYBSj,2021-02-26,OWP79d,Withdraw,1522.5243325542665
Jvxie8,2023-07-30,cda5Lb,Withdraw,53302.06525288994
bW2JTF,2021-02-03,YE6CIi,TDC,29745.89738321034
Tv3Joq,2021-10-30,rc8wym,Withdraw,141694.16855412148
vDcck1,2021-10-15,HGF3z2,Domestic Wire,1434.3058048390237
zbFEuc,2024-01-21,WkKbXc,Deposit,52545.42796424716
5vjT2c,2021-07-12,tuD0gx,Domestic Wire,134440.11746912156
YfIzVL,2023-01-15,aj1q4E,Domestic Wire,112225.47302104559
JNZx2V,2021-11-24,OErXVX,Withdraw,111706.62287120581
OOFXIc,2024-02-04,SEjOkA,TDC,75096.63868486191
u1lKJB,2021-04-05,a0umNc,Withdraw,58919.331824496825
SD4vPc,2023-11-22,R7hCbw,Deposit,131715.46940646408
jOwN3k,2021-02-05,KRiRvc,Deposit,67829.1864359379
ykU69Y,2023-04-26,zTpYHb,TDC,77993.70931113545
aPQoqx,2022-10-24,oA5Q4w,International Wire,79087.0676803709
EiZVKS,2023-08-23,ZAmlMB,Withdraw,34939.93587791187
ct8dq2,2021-06-07,N6KLtc,International Wire,86916.96991162044
tKjdhj,2022-02-08,kjW4Sc,TDC,90064.68265482056
N3YB69,2021-04-19,FRrZQG,Domestic Wire,83290.54911432097
EJAegB,2021-12-10,opcu4M,Domestic Wire,21811.867655861493
clvJ2O,2021-04-22,v9cP7D,Withdraw,42079.23542482289
AmdkSL,2023-10-02,m92a2S,Domestic Wire,128313.02446022011
TQsnI6,2022-04-13,6CFCZh,International Wire,55989.4266811083
UbiqVA,2022-06-29,HfHkPd,Deposit,107536.6298052033
yvy0We,2022-11-09,6z63Pb,International Wire,46788.58362848442
c5mNnz,2021-10-08,HBCN36,International Wire,86338.41558223803
iwrwXO,2021-04-05,J4M1P9,Deposit,7915.901705029455
DivIGW,2023-02-22,EqfI79,Domestic Wire,76314.15985729008
j9rH1L,2022-12-27,ZgFyHL,International Wire,78848.78374779128
2IDlde,2021-03-03,8HNBI3,Withdraw,22644.467417530737
8qdVMe,2023-07-16,1dStVC,Domestic Wire,55882.60776510883
JkQq9W,2021-06-06,h4Lw77,Withdraw,37993.238412744635
zkHN8v,2023-12-23,tAxG9J,Withdraw,3940.085668212118
vG5Zoy,2022-08-31,9zkMlj,Deposit,24381.122039537808
i8NTlG,2021-11-06,hyCAqO,Deposit,65805.62625087093
meOwT4,2022-02-09,cvA81p,TDC,9696.55502116111
0CHXIR,2022-07-11,ovdySA,Domestic Wire,137307.48391007583
Pfj9KB,2024-02-11,uWya3S,Deposit,72266.79720406319
p9UJnE,2023-01-01,fJBOmS,Deposit,139392.97469367008
dhqfTE,2023-06-05,F7FSiu,Withdraw,5017.383303155418
gFLOpn,2021-09-21,wviqwu,Domestic Wire,19081.704197557105
OItw2z,2023-12-20,h31EDk,TDC,80956.12392795012
pbgT6m,2023-11-11,uMBSd1,International Wire,139118.5527566684
hpblfz,2021-11-12,2ugour,Domestic Wire,122373.34684532692
sNXr6x,2021-04-01,b1zgY6,International Wire,8633.781874117703
UyANMJ,2023-11-17,ju7LJF,Deposit,87707.45547750853
8KkNHt,2021-09-03,1hvWCN,Deposit,63972.654346842064
rTny9D,2021-09-09,wXkr02,International Wire,28760.953550303966
0KAFP0,2022-06-16,AT5Tye,Deposit,110925.36059415816
lGk56Q,2023-04-03,gfJlR2,TDC,3065.6228367007634
FlLPs2,2022-01-25,gmMS0D,Withdraw,128718.71762911696
wnI512,2021-07-02,G26ivU,Domestic Wire,82584.86781533195
WZqRRk,2023-07-17,v3m5E6,Deposit,113215.55478252431
AeBfEm,2022-11-19,AlDthZ,Domestic Wire,100822.21302634949
WyxrtO,2023-10-31,OUKuLG,Deposit,109386.02472802505
Ohc7Y4,2021-09-29,6GgKMb,International Wire,82754.54527236879
Ga39q6,2021-01-21,YAo5jk,Withdraw,142549.09828044425
QkDKJF,2023-01-03,0J4bIx,Domestic Wire,74430.23277179443
UmnHg9,2023-11-25,VJxDW8,International Wire,126613.22237284911
5sClnz,2022-09-29,1WKH1E,Withdraw,46931.126600455056
HvHQaV,2023-06-04,yQ7LdV,Withdraw,114511.92166971955
4wi2tk,2023-03-02,w3q3sJ,International Wire,123373.14631118941
nhnKpx,2022-04-29,7IbTRT,Domestic Wire,14343.92232714421
waTRL7,2023-10-06,bqdsiD,Deposit,46405.25006812208
YRzg77,2022-07-09,nMwmE8,Domestic Wire,56272.63434811304
WaTNTi,2022-08-27,xan7s9,Domestic Wire,121737.61481544463
3YG0IZ,2023-10-19,2N7Zku,Deposit,68215.2962356177
zwvC6y,2022-01-25,DZiHab,Deposit,28680.78069643431
rwb4eX,2021-08-27,0e2Dsc,TDC,100894.24649564
ujiboV,2023-05-21,XcE5iJ,Domestic Wire,70626.73814907593
fw5HMt,2023-12-10,3qxqkn,Withdraw,22145.880612152512
95KfKs,2021-01-20,ylEmAi,TDC,120400.27848660073
Hpwse1,2022-12-13,RoSaGE,Withdraw,38351.01103531661
DXn4kD,2024-02-26,vLXvQ3,TDC,55820.12265573675
9zPgvc,2021-05-03,eia37o,Withdraw,18575.759516428952
JA465V,2022-06-06,jeLfgC,Domestic Wire,39199.210902138344
Cei3HY,2024-02-23,Cn9ZCz,Deposit,44514.109390206526
tjY8dY,2021-03-12,PF8Dih,International Wire,43824.47481795306
t4dOew,2023-04-26,K2MOG3,Withdraw,3815.9819619000973
PheDmO,2022-03-13,nWcerb,Withdraw,17809.224124496937
FXh7N7,2021-07-29,IGJpbZ,Domestic Wire,72833.2842804777
zGxZVz,2022-01-09,6qdgLR,Deposit,4369.356911048082
pJ5bkk,2023-01-19,2al6hL,Withdraw,120023.7071921551
QrR2WX,2022-07-02,j8aGcK,TDC,100736.9317058854
rF8bd6,2023-08-06,VIg054,Domestic Wire,99375.4279164184
Q0QPki,2022-03-24,D60DWK,Domestic Wire,33352.96985276177
luK7Vw,2023-11-13,k55SD9,Domestic Wire,84089.35952340286
6xXB6n,2022-07-12,0v3WYG,Domestic Wire,86828.06408338834
9xGxfD,2023-07-06,NLDX99,TDC,48273.16891235332
LZtD1v,2023-09-12,njaXWz,International Wire,124461.76958791501
G94YbY,2023-08-23,KTyonw,TDC,14077.546699394903
9Z6xJm,2021-07-25,ocVy1T,International Wire,66164.70625493261
Tdaq21,2024-01-17,HPvl0k,TDC,38207.09641834079
lkWwvG,2022-04-28,B7FLRx,Withdraw,127560.57464969878
UPq7RW,2022-08-26,pVg86B,International Wire,101328.29552128488
WJPuqt,2022-10-06,JOKuHF,International Wire,107179.53163856221
UUj3pV,2023-10-09,QLNd8D,TDC,139914.9041526586
dAbEIX,2021-05-06,bBoKsj,Deposit,47861.70806802967
YCJN57,2021-01-03,RCNxV5,Deposit,53286.2562521582
cZBOPo,2023-07-13,uJ3dnt,Domestic Wire,107835.30856686734
DtNTmF,2021-10-26,BpW4Xs,Withdraw,147787.64547198432
XepNj3,2023-12-22,Nm00dO,Domestic Wire,94655.78182122682
V38c04,2022-06-04,4S6Sm0,Domestic Wire,107811.23410328428
gI5aXD,2021-09-06,xaYN1Q,Domestic Wire,100830.74559398809
4dJNxr,2022-01-07,PsXV0U,TDC,54887.00481587591
YFNZyi,2021-12-13,Rl2O3X,TDC,46127.27559576701
kPp3Nm,2023-09-18,VVzrus,Domestic Wire,36042.3596642693
g5kMMP,2022-11-28,26vOZH,Withdraw,140019.50006339507
8nyBYG,2022-08-12,iGHr1B,International Wire,117933.59580155853
9Le7cx,2024-01-09,KdB2Uv,Withdraw,51638.84880613303
lWudfu,2023-11-13,opi8Y5,International Wire,51702.101173607494
irGGPS,2023-06-02,O7aiQY,TDC,108764.6616369805
NsGJ76,2022-10-06,XjblbH,TDC,92624.42624262472
EvdWie,2021-02-19,eBbuvs,TDC,65850.3980127011
ljWTAP,2022-09-17,HdFO48,Domestic Wire,1371.360812774704
Iviug6,2023-12-27,CdFXBw,Domestic Wire,105231.33919873997
GOsz75,2023-06-01,WXfy9b,Deposit,83366.21053023597
tRbfyq,2022-10-12,9RtjJO,Withdraw,88188.38539152942
lbqKfY,2023-10-26,SdCyw0,Deposit,11399.863081385149
wSRVjV,2024-01-07,VgDHT3,International Wire,128001.508545353
Q6mVlu,2021-03-14,IbteVH,Withdraw,25473.593284170372
NB9jrm,2021-09-15,6WGrGA,Deposit,138016.16023320256
9Vt2QG,2022-11-23,7ld0cm,Deposit,17793.807369499966
3Xfs8k,2021-04-10,KCuMhS,TDC,65899.75996619364
XbTZiP,2022-02-07,JLY53t,Withdraw,113255.57813767435
OaL19A,2023-12-26,yEKVgj,International Wire,51347.22475528732
rT2PTI,2021-09-02,wo0XQj,TDC,95658.76581854248
zHq9TC,2022-11-25,h3DfSo,Domestic Wire,117547.65293238885
0UaNSj,2023-03-31,HEoBZz,Domestic Wire,90110.44590887865
1RolHd,2023-01-27,CHYnpI,Deposit,41964.59761180726
pKDHMx,2023-05-23,v6U8IE,International Wire,147058.68766814002
5w8z6x,2023-07-28,3nQZzL,International Wire,19060.485815484808
jiZQ7F,2021-01-01,LPBZQ6,TDC,131941.3727546451
EgNKW6,2021-03-02,eek8hm,International Wire,37131.665648121256
lKqXxA,2023-02-08,j4QUkf,Domestic Wire,46057.095719153556
k9InTM,2022-05-22,YgETOP,TDC,122375.68294932212
z7S045,2022-04-30,UJX6kF,Domestic Wire,43143.79325712445
gKdXjK,2022-12-27,rsoZFB,Withdraw,106784.86498886767
UDMBCA,2021-03-19,zJp2QM,Deposit,76636.47785531345
0evamp,2022-10-07,MTRc4F,TDC,139513.8078057951
ZnILUF,2021-10-20,ooiUpP,International Wire,134349.58866214377
7mcp1I,2023-05-03,Ki4E7e,TDC,55188.142566852235
KA418F,2023-09-11,k1p7Dw,Withdraw,109164.74609912658
C3tKQ8,2021-05-10,UZBI7k,Withdraw,120625.01264232243
9Fasuh,2024-02-02,ivdUrZ,Domestic Wire,58740.297548307106
kbbhqO,2021-07-22,qfa1dt,Withdraw,62985.496466781464
ql6YPx,2021-01-23,i9TLx3,International Wire,149669.05571877974
2IBWbI,2022-09-17,eYVNK4,Deposit,60103.00067985314
oYO0Su,2023-11-21,xhL58D,Domestic Wire,86956.67573462112
1Q7Bv3,2022-10-11,g9tMRg,International Wire,46181.50518385984
XBmup9,2022-05-07,hdPlgQ,TDC,113243.93984859437
