Transaction_ID,Transaction_Date,Contract_ID,Transaction_Type,Amount
he032S,2021-01-01,2yW4Ac,Withdraw,19011.087435991507
b5HCWR,2021-01-02,q9GFz6,Domestic Wire,127277.23028367404
mhFzqn,2021-01-03,q9GFz6,International Wire,121194.1843293891
Pc8ZnN,2021-01-04,L56nGi,Deposit,85580.5604228817
jgmDyx,2021-01-05,Y1t9Ew,Domestic Wire,61373.90293528695
I0jgMF,2021-01-06,Y1t9Ew,International Wire,10840.465820543139
jKzORB,2021-01-07,L56nGi,International Wire,104765.60158511226
4HFR64,2021-01-08,Y1t9Ew,Withdraw,68304.63106037129
u1FFOQ,2021-01-09,2yW4Ac,Domestic Wire,108447.31212081702
3mIN7o,2021-01-10,2yW4Ac,Withdraw,130024.15772633006
avT9V5,2021-01-11,q9GFz6,International Wire,146340.46499793144
u0ucHj,2021-01-12,q9GFz6,Domestic Wire,128442.59968769534
3qMYj1,2021-01-13,q9GFz6,Withdraw,2251.2555856577947
yLsTTZ,2021-01-14,L56nGi,Withdraw,54316.7206395154
EeZfH3,2021-01-15,2yW4Ac,TDC,109633.58908239668
6ceoic,2021-01-16,2yW4Ac,Deposit,26158.636750585356
taW2Cv,2021-01-17,q9GFz6,International Wire,78394.97262751733
3kZj3P,2021-01-18,L56nGi,International Wire,8623.529256718419
D9xGy5,2021-01-19,q9GFz6,Withdraw,30399.48047201181
HGcKfR,2021-01-20,Y1t9Ew,International Wire,3269.0082718617887
YZHWMe,2021-01-21,2yW4Ac,International Wire,119157.80665193438
VB5Wns,2021-01-22,q9GFz6,Domestic Wire,33976.740865026826
I5MA0E,2021-01-23,L56nGi,TDC,52130.07626418695
2YyMLo,2021-01-24,q9GFz6,Domestic Wire,139248.15337310583
23ZbQ4,2021-01-25,2yW4Ac,Domestic Wire,105809.95308756815
aVltGK,2021-01-26,Y1t9Ew,International Wire,5259.919964930523
qveF3q,2021-01-27,Y1t9Ew,International Wire,25121.776396437956
80tXAy,2021-01-28,2yW4Ac,International Wire,93411.02102421464
